Price,Carat,Clarity,Color,Cut,Table,Length,Width,Depth,DepthPercentage
383,0.24,VS1,F,Good,65,3.97,4,2.4,60.2
384,0.32,SI1,J,Ideal,54.9,4.39,4.42,2.72,61.8
384,0.3,VS2,J,Ideal,56,4.31,4.33,2.66,61.6
384,0.26,SI1,E,Very Good,54,4.08,4.11,2.54,62
389,0.3,SI1,H,Ideal,54,4.33,4.36,2.69,61.9
390,0.31,SI2,H,Premium,59,4.39,4.45,2.63,59.5
391,0.31,SI2,G,Ideal,55,4.34,4.37,2.7,62
391,0.23,VS1,E,Very Good,55,3.88,3.9,2.44,62.8
393,0.32,VS2,J,Very Good,61,4.45,4.49,2.68,60
394,0.3,VS1,J,Very Good,61,4.3,4.33,2.64,61.2
394,0.3,SI1,I,Good,59,4.23,4.3,2.7,63.3
394,0.3,VS1,J,Good,55,4.25,4.3,2.71,63.4
394,0.3,SI2,F,Good,56,4.26,4.29,2.71,63.4
394,0.3,SI2,G,Very Good,61,4.41,4.47,2.58,58.1
394,0.3,SI2,F,Very Good,61,4.2,4.24,2.64,62.6
395,0.23,VVS1,G,Good,60,4.14,4.19,2.34,56.2
396,0.31,VS2,J,Ideal,55,4.32,4.36,2.7,62.2
397,0.24,VS1,I,Very Good,56,3.98,4.01,2.46,61.8
400,0.31,VS2,J,Ideal,54.1,4.35,4.38,2.7,61.8
400,0.23,VS1,E,Premium,60,3.91,3.95,2.43,61.8
400,0.23,VS2,E,Very Good,60,3.9,3.92,2.44,62.4
400,0.31,VS2,J,Ideal,53.6,4.36,4.39,2.72,62.1
401,0.3,SI2,E,Ideal,55,4.3,4.33,2.68,62.1
401,0.3,SI2,E,Ideal,54,4.33,4.35,2.69,62
401,0.26,SI1,F,Very Good,56,4.13,4.16,2.54,61.4
402,0.23,VS2,D,Very Good,58,3.91,3.95,2.48,63.1
402,0.23,VS1,F,Very Good,57,4,4.03,2.41,60
402,0.23,VS1,D,Very Good,58,3.92,3.96,2.44,61.9
402,0.23,VS2,F,Very Good,56,3.84,3.89,2.45,63.4
402,0.23,VS1,E,Very Good,58,4.01,4.06,2.4,59.5
403,0.26,VS1,D,Good,63,4.19,4.24,2.46,58.4
403,0.26,VS2,D,Good,56,3.99,4.02,2.61,65.2
404,0.24,SI1,F,Very Good,61,4.02,4.03,2.45,60.9
404,0.29,SI2,H,Very Good,60,4.33,4.37,2.64,60.7
405,0.3,SI1,I,Very Good,57,4.25,4.28,2.67,62.6
405,0.3,SI1,I,Good,55,4.25,4.29,2.7,63.2
407,0.3,SI1,H,Ideal,58,4.25,4.33,2.66,62
407,0.3,VS2,I,Ideal,56,4.28,4.29,2.67,62.3
407,0.25,VS2,G,Very Good,57,4.05,4.08,2.51,61.9
407,0.27,SI1,E,Very Good,57,4.2,4.23,2.58,61.2
407,0.27,VS1,E,Very Good,60,4.03,4.09,2.59,63.8
408,0.31,SI2,G,Ideal,57,4.36,4.4,2.65,60.5
408,0.31,VS1,J,Premium,59,4.31,4.33,2.67,61.8
408,0.3,SI2,H,Ideal,56,4.41,4.43,2.65,60
409,0.35,SI1,J,Good,56,4.5,4.53,2.86,63.3
413,0.27,VS1,E,Very Good,59,4.19,4.22,2.55,60.6
413,0.3,SI2,D,Very Good,58,4.26,4.28,2.66,62.3
413,0.3,SI1,G,Very Good,58,4.31,4.34,2.6,60.1
413,0.34,I1,D,Ideal,57,4.47,4.49,2.8,62.5
414,0.23,VVS1,I,Premium,61,3.98,3.95,2.4,60.5
418,0.31,SI1,I,Ideal,56,4.34,4.37,2.71,62.2
418,0.31,SI1,J,Ideal,56,4.37,4.4,2.69,61.3
419,0.24,VS1,D,Very Good,58,3.99,4.02,2.46,61.4
419,0.24,VS2,E,Very Good,53,3.96,3.98,2.52,63.5
419,0.24,VS2,E,Very Good,58,4.01,4.04,2.42,60.1
419,0.24,VS1,E,Very Good,58,4.02,4.11,2.43,59.8
419,0.24,VS2,F,Ideal,57,4.04,4.06,2.48,61.2
419,0.24,VS2,E,Very Good,56,3.95,3.98,2.5,63.1
419,0.24,VS1,F,Ideal,56,4,4.03,2.46,61.3
419,0.24,VS1,F,Very Good,58,3.95,3.96,2.47,62.5
419,0.24,VS2,F,Ideal,57,3.96,4.01,2.48,62.2
420,0.26,VS2,D,Very Good,63,4.13,4.16,2.47,59.6
420,0.26,VS1,D,Very Good,57,4.03,4.06,2.56,63.3
420,0.32,SI2,H,Ideal,54,4.42,4.46,2.75,61.9
421,0.3,SI1,H,Good,58,4.26,4.29,2.71,63.4
421,0.3,VS2,I,Ideal,56,4.29,4.31,2.69,62.6
421,0.3,SI1,H,Very Good,61,4.25,4.3,2.6,60.8
421,0.3,SI2,E,Very Good,61,4.29,4.33,2.66,61.7
421,0.36,SI1,J,Premium,60,4.52,4.59,2.79,61.3
421,0.3,SI1,H,Good,57,4.27,4.31,2.72,63.4
421,0.3,SI1,H,Premium,59,4.36,4.38,2.59,59.3
421,0.3,SI1,H,Very Good,58,4.29,4.33,2.64,61.3
421,0.3,SI1,H,Very Good,58,4.22,4.28,2.66,62.6
421,0.3,SI1,H,Very Good,56,4.28,4.31,2.7,62.9
421,0.3,SI1,H,Premium,60,4.29,4.31,2.63,61.2
421,0.31,SI2,H,Ideal,55,4.35,4.38,2.67,61.3
421,0.3,SI1,H,Good,58,4.21,4.24,2.68,63.4
421,0.32,SI2,G,Premium,58,4.35,4.39,2.74,62.7
422,0.3,SI1,G,Ideal,55,4.27,4.32,2.67,62.2
422,0.3,SI1,I,Ideal,58,4.27,4.32,2.66,61.9
422,0.3,SI2,G,Ideal,57,4.31,4.33,2.67,61.8
422,0.3,SI1,I,Ideal,58,4.25,4.29,2.67,62.5
423,0.23,VS1,H,Ideal,55,3.94,3.97,2.42,61.2
423,0.26,VS2,G,Very Good,57,4.11,4.15,2.55,61.7
424,0.31,VS1,J,Ideal,55,4.37,4.39,2.68,61.2
425,0.26,VS1,D,Very Good,56,4.15,4.18,2.5,60
427,0.32,SI2,E,Ideal,56,4.42,4.45,2.72,61.3
427,0.33,SI2,E,Ideal,55,4.44,4.47,2.75,61.7
429,0.31,VS1,J,Ideal,54.7,4.34,4.36,2.69,61.9
429,0.35,SI2,H,Premium,58,4.47,4.5,2.78,62
429,0.28,VS1,H,Very Good,56,4.18,4.2,2.59,61.9
430,0.26,VS1,H,Very Good,54,4.06,4.08,2.56,62.9
430,0.31,SI2,J,Very Good,58,4.35,4.34,2.75,63.3
431,0.23,VVS2,H,Very Good,56,3.92,3.95,2.46,62.6
431,0.31,SI1,G,Premium,58,4.32,4.35,2.68,61.8
432,0.3,SI1,H,Very Good,57,4.22,4.27,2.67,62.9
432,0.24,VVS1,H,Premium,58,3.96,4.01,2.44,61.2
432,0.3,SI1,H,Good,56,4.27,4.29,2.7,63.1
432,0.3,SI1,H,Very Good,59,4.29,4.31,2.62,60.9
432,0.3,SI1,H,Very Good,59,4.24,4.28,2.68,62.9
432,0.24,VVS2,H,Very Good,58,4.04,4.07,2.46,60.7
432,0.32,SI1,I,Ideal,57,4.42,4.47,2.7,60.7
432,0.3,SI1,H,Good,56,4.27,4.29,2.71,63.3
432,0.27,VS1,I,Ideal,57,4.16,4.19,2.56,61.3
432,0.27,VS1,I,Ideal,54,4.16,4.19,2.61,62.5
432,0.24,VVS1,H,Premium,59,4,4.02,2.44,60.8
432,0.3,SI1,G,Very Good,58,4.3,4.32,2.63,61
434,0.33,VS1,J,Very Good,58,4.38,4.41,2.76,62.8
434,0.33,VS1,J,Very Good,61,4.39,4.46,2.72,61.5
434,0.33,VS1,J,Ideal,55,4.41,4.44,2.75,62.1
434,0.28,VS1,E,Very Good,60,4.16,4.21,2.63,62.8
434,0.33,SI2,G,Premium,58,4.4,4.42,2.76,62.6
434,0.33,SI1,I,Good,53,4.4,4.43,2.81,63.6
434,0.33,SI2,F,Very Good,58,4.4,4.42,2.78,63
434,0.33,SI2,F,Premium,58,4.4,4.43,2.75,62.3
435,0.31,VS2,I,Premium,60,4.41,4.44,2.65,59.9
435,0.31,VS2,I,Premium,58,4.36,4.38,2.67,61.1
435,0.31,VS2,I,Premium,60,4.31,4.32,2.69,62.3
435,0.25,VS1,E,Premium,59,4.11,4.13,2.5,60.7
435,0.25,VS1,F,Very Good,59,4.02,4.05,2.47,61.2
435,0.31,VS2,G,Premium,58,4.35,4.39,2.7,61.8
435,0.31,SI1,H,Good,57,4.28,4.31,2.73,63.6
435,0.31,SI1,H,Very Good,60,4.43,4.47,2.61,58.7
435,0.31,SI2,E,Ideal,56,4.35,4.4,2.7,61.7
436,0.24,VS1,G,Ideal,57,3.99,4.02,2.49,62.3
436,0.25,VS2,E,Very Good,56,4.01,4.05,2.55,63.3
436,0.31,SI1,I,Ideal,56,4.37,4.4,2.69,61.3
436,0.25,VS1,E,Very Good,56,4.1,4.15,2.47,59.9
436,0.25,VS1,F,Very Good,56,4.13,4.16,2.47,59.6
438,0.25,VS1,G,Ideal,54,4.06,4.07,2.52,62
438,0.25,VS1,G,Ideal,54,4.05,4.11,2.54,62.3
438,0.3,VS2,I,Ideal,57,4.36,4.39,2.64,60.3
438,0.3,VS2,I,Ideal,58,4.3,4.31,2.64,61.3
438,0.3,VS2,I,Ideal,58,4.28,4.31,2.64,61.5
439,0.27,VS2,G,Very Good,57,4.18,4.22,2.58,61.5
439,0.23,VVS1,E,Good,65,3.93,3.95,2.36,59.9
440,0.34,SI1,H,Ideal,55,4.51,4.55,2.78,61.4
441,0.31,SI1,H,Ideal,54,4.35,4.4,2.7,61.8
441,0.3,VS2,J,Good,58,4.26,4.23,2.72,64.1
442,0.23,VS2,F,Good,57,3.97,4.01,2.44,61
445,0.33,SI1,I,Good,58,4.36,4.38,2.76,63.2
445,0.34,SI2,E,Good,56,4.46,4.51,2.83,63.1
445,0.27,VVS2,H,Very Good,58,4.16,4.2,2.56,61.2
446,0.31,SI1,G,Ideal,55,4.37,4.39,2.68,61.2
446,0.35,VS2,J,Ideal,55,4.55,4.57,2.8,61.4
446,0.35,VS2,J,Ideal,55,4.54,4.56,2.81,61.8
446,0.31,SI1,G,Ideal,54,4.38,4.4,2.71,61.7
446,0.31,SI1,H,Good,57,4.32,4.33,2.75,63.6
447,0.3,SI2,D,Good,57,4.21,4.24,2.67,63.2
447,0.3,SI2,D,Premium,60,4.32,4.35,2.61,60.2
447,0.3,SI2,D,Very Good,58,4.29,4.32,2.66,61.8
447,0.34,VS1,J,Very Good,58,4.41,4.47,2.74,61.7
447,0.3,SI2,D,Premium,58,4.29,4.32,2.68,62.3
447,0.3,SI2,D,Very Good,55,4.25,4.26,2.68,63
447,0.3,SI2,D,Very Good,60,4.28,4.31,2.63,61.2
447,0.3,SI1,G,Very Good,57,4.32,4.37,2.6,59.8
447,0.3,SI1,G,Very Good,57,4.31,4.35,2.66,61.4
447,0.34,SI2,F,Very Good,58,4.45,4.47,2.81,63
447,0.3,SI2,D,Ideal,57,4.3,4.33,2.68,62.1
447,0.34,SI2,F,Very Good,61,4.44,4.48,2.75,61.7
447,0.34,SI2,F,Good,56,4.44,4.48,2.83,63.5
447,0.34,SI2,F,Premium,58,4.55,4.58,2.74,60
448,0.26,VS1,H,Ideal,56,4.13,4.15,2.56,62.1
449,0.32,SI1,H,Premium,60,4.36,4.42,2.69,61.3
449,0.32,VS2,I,Premium,58,4.37,4.42,2.75,62.6
449,0.24,VVS2,H,Very Good,57,3.97,4.01,2.47,61.9
449,0.27,VS2,E,Very Good,57,4.3,4.33,2.53,58.6
449,0.24,VVS1,H,Very Good,56,4.01,4.04,2.46,61.3
449,0.23,SI2,D,Very Good,57,3.87,3.85,2.45,63.5
449,0.24,VVS2,G,Very Good,56,4,4.03,2.49,62
449,0.32,VS2,I,Very Good,56,4.38,4.42,2.77,63
449,0.32,SI1,G,Ideal,55,4.4,4.43,2.73,61.8
449,0.32,SI1,H,Very Good,58,4.34,4.38,2.7,61.9
449,0.32,VS2,I,Ideal,57,4.35,4.39,2.73,62.5
449,0.32,SI1,H,Ideal,57,4.4,4.44,2.68,60.6
449,0.32,SI2,E,Ideal,55,4.39,4.42,2.76,62.7
450,0.25,VVS1,H,Premium,59,4.07,4.09,2.44,59.8
450,0.3,SI1,H,Ideal,58,4.31,4.33,2.63,60.9
450,0.33,VS2,J,Premium,61,4.53,4.49,2.69,59.6
450,0.25,VVS1,H,Ideal,56,4.03,4.06,2.53,62.5
450,0.3,SI1,J,Very Good,54,4.29,4.23,2.7,63.4
451,0.27,VS2,H,Ideal,56,4.13,4.17,2.56,61.7
452,0.31,VS2,I,Ideal,57,4.37,4.38,2.67,61
452,0.28,VS1,D,Very Good,61,4.13,4.16,2.58,62.2
452,0.31,VS2,I,Ideal,54,4.37,4.4,2.73,62.3
452,0.26,VS2,E,Very Good,56,4.11,4.13,2.56,62.1
453,0.26,VS2,F,Very Good,59,4.14,4.27,2.47,58.7
453,0.26,VS2,F,Very Good,58,4.06,4.08,2.54,62.4
453,0.26,VS1,F,Very Good,59,4.12,4.18,2.51,60.5
453,0.26,VS1,F,Good,58,4.2,4.25,2.45,58
453,0.31,SI1,J,Premium,62,4.47,4.44,2.59,58.1
453,0.31,SI1,J,Premium,62,4.43,4.39,2.62,59.4
454,0.32,SI2,D,Ideal,55,4.39,4.42,2.72,61.7
454,0.34,SI2,E,Ideal,55,4.5,4.52,2.77,61.4
454,0.34,SI2,E,Ideal,54,4.49,4.52,2.81,62.4
454,0.25,VS1,G,Ideal,55,4,4.02,2.51,62.5
455,0.25,VVS2,I,Very Good,56,4.06,4.09,2.51,61.6
456,0.33,SI1,I,Ideal,53.5,4.46,4.5,2.78,62
459,0.32,SI2,G,Ideal,56,4.4,4.43,2.72,61.6
459,0.27,VVS2,I,Ideal,55,4.17,4.2,2.6,62.1
460,0.35,SI2,F,Good,56,4.45,4.48,2.85,63.8
461,0.3,SI1,F,Ideal,57,4.27,4.31,2.68,62.5
461,0.32,SI1,H,Good,55,4.3,4.33,2.75,63.7
461,0.24,VS2,E,Very Good,57,3.99,4.02,2.47,61.7
461,0.32,SI1,H,Very Good,55,4.37,4.38,2.74,62.6
462,0.31,SI2,D,Ideal,56,4.33,4.35,2.69,62
462,0.31,SI1,G,Very Good,59,4.34,4.38,2.68,61.5
462,0.31,SI2,D,Good,54,4.31,4.34,2.75,63.6
462,0.31,SI1,G,Very Good,55,4.37,4.38,2.7,61.7
462,0.31,SI2,D,Premium,58,4.38,4.4,2.64,60.1
462,0.31,SI1,G,Premium,60,4.34,4.36,2.64,60.7
462,0.23,VVS1,E,Good,62,3.9,3.93,2.46,62.8
462,0.31,SI1,G,Very Good,58,4.39,4.42,2.66,60.4
462,0.31,SI2,D,Ideal,56,4.35,4.38,2.72,62.3
462,0.31,SI1,G,Ideal,55,4.35,4.36,2.71,62.2
463,0.33,VS2,I,Premium,59,4.4,4.44,2.7,61.1
464,0.31,SI1,H,Ideal,54,4.37,4.39,2.72,62.1
464,0.31,SI1,H,Ideal,56,4.35,4.39,2.67,61.1
464,0.31,SI1,H,Ideal,54,4.34,4.36,2.69,61.8
464,0.29,VS1,H,Ideal,54,4.23,4.26,2.65,62.4
465,0.31,SI1,J,Premium,59,4.32,4.29,2.7,62.7
465,0.23,VVS2,E,Very Good,60,4.04,4.07,2.35,58
465,0.23,VVS1,F,Very Good,57,4,4.02,2.41,60.1
465,0.23,VVS2,F,Very Good,61,3.92,3.96,2.38,60.4
465,0.3,SI1,H,Ideal,56,4.35,4.37,2.65,60.7
465,0.23,VVS2,E,Very Good,59,3.92,3.95,2.43,61.8
465,0.23,VVS2,F,Very Good,59,3.93,3.97,2.41,61
465,0.23,VVS2,E,Very Good,59,3.93,3.95,2.47,62.7
466,0.32,VS2,I,Ideal,55,4.39,4.41,2.74,62.3
468,0.32,I1,D,Good,54,4.36,4.33,2.78,64
468,0.31,VVS2,J,Ideal,56.1,4.31,4.33,2.68,62
468,0.39,SI2,H,Premium,58,4.51,6.02,4.44,61.2
468,0.26,VVS1,H,Ideal,56,4.11,4.16,2.53,61.2
469,0.34,SI1,I,Ideal,56,4.47,4.5,2.77,61.9
470,0.28,VS1,E,Good,55,4.14,4.16,2.67,64.3
470,0.27,VS1,D,Very Good,55,4.1,4.16,2.61,63.2
470,0.27,VS1,D,Very Good,59,4.15,4.2,2.52,60.4
470,0.27,VS1,E,Premium,59,4.2,4.24,2.54,60.2
470,0.27,VS1,E,Ideal,55,4.16,4.18,2.57,61.6
470,0.31,VS2,H,Good,56,4.33,4.29,2.75,63.8
471,0.24,VVS2,F,Good,61,3.91,3.93,2.51,64
471,0.29,VS2,G,Very Good,55,4.25,4.28,2.64,61.9
471,0.31,VS2,G,Very Good,62,4.4,4.41,2.59,58.8
471,0.32,VS1,I,Ideal,57,4.37,4.42,2.73,62.1
471,0.29,VS2,G,Very Good,55,4.24,4.27,2.63,62
472,0.23,VVS2,F,Very Good,59,3.97,3.99,2.42,60.8
472,0.23,VVS1,E,Very Good,59,3.89,3.91,2.41,61.8
472,0.25,VS2,H,Ideal,55,4.11,4.09,2.5,61
472,0.23,VVS1,E,Good,57,3.87,3.9,2.5,64.4
473,0.3,VS1,I,Premium,59,4.26,4.3,2.64,61.7
473,0.3,VS1,I,Premium,58,4.27,4.32,2.65,61.7
473,0.3,VS2,J,Premium,61,4.33,4.28,2.65,61.6
473,0.3,VS1,I,Ideal,56,4.31,4.36,2.67,61.6
473,0.3,SI2,H,Premium,59,4.35,4.32,2.64,60.9
473,0.3,VS2,H,Very Good,61,4.27,4.3,2.61,60.9
474,0.29,VS1,E,Very Good,44,4.2,4.24,2.65,62.8
475,0.33,SI1,H,Very Good,58,4.4,4.42,2.78,63
475,0.3,SI1,F,Ideal,57,4.31,4.35,2.68,61.9
475,0.3,SI1,H,Ideal,52.8,4.28,4.33,2.69,62.4
475,0.33,SI1,G,Ideal,54,4.42,4.45,2.76,62.2
475,0.33,SI1,G,Ideal,56,4.45,4.49,2.74,61.3
475,0.33,SI1,H,Very Good,57,4.39,4.41,2.77,63
475,0.3,SI1,F,Ideal,55,4.34,4.36,2.67,61.4
475,0.3,SI1,F,Ideal,56,4.28,4.3,2.68,62.5
475,0.3,SI1,F,Ideal,55,4.3,4.32,2.69,62.4
476,0.25,VVS2,E,Good,65,4.13,4.18,2.41,58
477,0.34,SI1,H,Premium,59,4.46,4.5,2.78,62.1
477,0.32,SI1,G,Premium,60,4.43,4.46,2.65,59.6
477,0.32,SI2,D,Ideal,56,4.43,4.46,2.73,61.4
477,0.32,SI2,D,Good,56,4.33,4.34,2.76,63.7
477,0.32,SI2,D,Ideal,54,4.38,4.4,2.74,62.4
477,0.32,SI1,G,Very Good,55,4.41,4.43,2.74,62
477,0.32,SI1,G,Very Good,56,4.41,4.45,2.7,60.9
477,0.32,SI1,G,Premium,58,4.31,4.35,2.71,62.6
477,0.32,SI1,G,Premium,58,4.36,4.4,2.7,61.6
477,0.3,SI1,G,Ideal,56,4.29,4.31,2.68,62.3
477,0.32,SI1,G,Ideal,56,4.39,4.42,2.7,61.3
478,0.35,VS1,J,Ideal,56,4.56,4.58,2.81,61.5
478,0.24,VVS2,F,Very Good,56,3.98,4.02,2.5,62.5
478,0.24,VVS1,D,Very Good,59,4.04,4.1,2.41,59.2
478,0.23,VVS1,E,Very Good,59,3.97,4.01,2.4,60.2
478,0.23,VVS1,D,Very Good,57,3.9,3.93,2.48,63.3
478,0.26,VVS2,H,Ideal,55.7,4.08,4.1,2.53,61.8
480,0.28,VVS1,H,Very Good,61,4.27,4.31,2.51,58.5
480,0.28,VVS1,H,Good,64,4.38,4.41,2.46,56
480,0.33,VS2,I,Ideal,56,4.45,4.48,2.74,61.4
480,0.27,VVS2,I,Ideal,56,4.15,4.17,2.55,61.3
480,0.32,SI1,J,Premium,58,4.4,4.36,2.7,61.6
480,0.33,VS2,I,Ideal,54,4.45,4.48,2.78,62.3
481,0.34,SI2,D,Ideal,56,4.5,4.55,2.78,61.4
481,0.29,VS1,E,Very Good,61,4.22,4.25,2.6,61.4
482,0.26,VS1,H,Ideal,54,4.07,4.11,2.55,62.3
483,0.23,VS1,F,Very Good,58,3.89,3.86,2.45,63.2
483,0.35,VS1,J,Ideal,53.7,4.51,4.54,2.83,62.6
484,0.23,VVS1,G,Very Good,56,3.92,3.96,2.42,61.5
485,0.32,VS2,I,Ideal,56,4.42,4.46,2.69,60.6
485,0.23,VVS1,E,Very Good,58,3.99,4.01,2.44,61
485,0.24,VVS1,F,Very Good,56,3.98,4,2.46,61.7
485,0.24,VVS1,E,Very Good,60,4.01,4.06,2.45,60.7
485,0.23,VVS2,E,Very Good,63,3.98,4.05,2.37,59
485,0.3,SI2,H,Premium,60,4.29,4.27,2.65,61.9
485,0.24,VVS1,E,Very Good,58,3.94,4,2.45,61.7
485,0.24,VVS1,E,Very Good,59,3.99,4.01,2.46,61.5
485,0.24,VVS1,E,Very Good,58,3.95,3.99,2.45,61.7
485,0.3,SI2,H,Very Good,55,4.29,4.26,2.7,63.2
486,0.26,VVS2,G,Very Good,56,4.07,4.09,2.54,62.3
486,0.26,VVS2,G,Very Good,55,4.1,4.12,2.57,62.5
486,0.3,VS1,I,Ideal,53.9,4.29,4.33,2.68,62.2
486,0.27,VVS2,H,Premium,59,4.19,4.21,2.55,60.7
487,0.28,VS2,D,Ideal,57,4.2,4.23,2.58,61.2
487,0.28,VS1,E,Very Good,59,4.29,4.35,2.57,59.5
487,0.28,VS2,D,Ideal,57,4.16,4.2,2.61,62.4
487,0.28,VS1,E,Very Good,58,4.27,4.32,2.53,58.9
487,0.28,VS1,E,Very Good,58,4.23,4.27,2.56,60.2
487,0.3,SI1,G,Ideal,57,4.34,4.37,2.63,60.6
489,0.31,VS2,H,Very Good,59,4.34,4.38,2.71,62.2
489,0.31,VS1,I,Good,56,4.27,4.32,2.74,63.8
489,0.31,VS1,I,Premium,59,4.37,4.41,2.67,60.8
489,0.31,VS2,H,Good,58,4.31,4.34,2.73,63.1
489,0.31,VS2,H,Good,57,4.28,4.31,2.71,63.1
489,0.31,VS2,H,Good,58,4.31,4.33,2.73,63.2
489,0.31,VS2,H,Very Good,60,4.31,4.36,2.71,62.5
489,0.31,VS1,I,Very Good,58,4.29,4.32,2.71,63
489,0.31,VS1,I,Very Good,57,4.28,4.32,2.7,62.8
489,0.31,VS1,I,Premium,59,4.29,4.33,2.7,62.6
489,0.31,VS1,I,Good,55,4.3,4.33,2.75,63.7
489,0.31,VS1,I,Premium,59,4.29,4.35,2.69,62.3
489,0.3,SI1,F,Very Good,59,4.42,4.45,2.59,58.4
489,0.31,VS2,H,Ideal,55,4.35,4.39,2.72,62.2
489,0.31,VS1,I,Very Good,55,4.31,4.35,2.72,62.8
490,0.28,VS1,G,Ideal,55,4.22,4.25,2.63,62.1
490,0.31,SI1,F,Ideal,55,4.34,4.39,2.72,62.3
490,0.25,VVS1,F,Good,60,4.1,4.12,2.43,59.1
491,0.3,VS2,H,Ideal,55,4.28,4.31,2.68,62.4
491,0.3,VS2,H,Ideal,57,4.26,4.29,2.67,62.5
491,0.3,VS2,G,Very Good,62,4.28,4.33,2.63,61.1
491,0.3,VS1,H,Good,58,4.22,4.26,2.68,63.2
491,0.35,SI1,H,Very Good,62,4.52,4.56,2.77,61
491,0.35,SI2,E,Good,55,4.48,4.5,2.87,63.9
491,0.4,I1,F,Good,60.4,4.64,4.68,2.95,63.3
491,0.35,SI2,E,Ideal,56,4.51,4.55,2.78,61.4
491,0.34,SI1,F,Ideal,57,4.54,4.58,2.71,59.4
491,0.3,VS2,H,Ideal,55,4.33,4.36,2.7,62.1
491,0.3,VS2,H,Ideal,58,4.29,4.32,2.62,60.9
491,0.26,VS1,H,Premium,59,4.1,4.06,2.54,62.3
491,0.3,VS2,H,Ideal,56,4.32,4.34,2.69,62.1
491,0.3,VS1,H,Very Good,60,4.23,4.29,2.66,62.4
491,0.35,SI2,E,Premium,59,4.52,4.56,2.79,61.5
491,0.35,SI2,E,Premium,58,4.52,4.56,2.77,61
492,0.24,VVS1,D,Very Good,54,3.99,4.02,2.48,61.9
492,0.33,SI2,D,Premium,58,4.39,4.41,2.76,62.7
492,0.24,VVS1,F,Good,57,3.9,3.94,2.54,64.8
492,0.24,VVS2,D,Very Good,59,3.95,3.97,2.49,62.9
492,0.33,SI1,G,Very Good,58,4.52,4.54,2.71,59.8
492,0.33,SI1,G,Premium,59,4.39,4.44,2.75,62.3
492,0.33,SI2,D,Ideal,56,4.41,4.44,2.76,62.4
492,0.28,VS2,G,Very Good,57,4.21,4.24,2.59,61.3
493,0.23,VS2,F,Ideal,55,3.93,3.96,2.43,61.8
493,0.37,SI2,E,Very Good,56,4.61,4.65,2.85,61.6
495,0.3,VS2,G,Ideal,54,4.29,4.33,2.68,62.2
495,0.34,VS2,I,Ideal,55,4.53,4.55,2.79,61.5
497,0.34,SI1,J,Fair,57,4.38,4.36,2.82,64.5
497,0.32,SI1,F,Very Good,62,4.4,4.43,2.68,60.7
497,0.28,VVS2,I,Ideal,55,4.21,4.24,2.63,62.2
498,0.29,VS2,H,Ideal,55,4.24,4.27,2.67,62.8
498,0.23,VS2,F,Ideal,55,3.93,3.97,2.43,61.5
498,0.23,VVS2,E,Very Good,58,3.96,4.01,2.42,60.7
498,0.27,VVS1,F,Good,61,4.1,4.14,2.54,61.7
499,0.23,VVS1,E,Very Good,56,3.94,3.99,2.41,60.8
